""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PIK3R4"	6.5763674081324	-3.10004632547693	0.814643634266905	-3.80540176719928	0.000141574195171782	0.00165530493092323
"PIKFYVE"	3.84959393949724	-0.710697735784016	0.761192737856069	-0.93366331605544	0.350477593486126	0.511097020998139
"PILRB"	6.81256360470036	-0.346603253891921	0.55980909743539	-0.619145447045766	0.535820546189994	0.680133981870584
"PIM1"	10.9149905937317	-0.489060023094687	0.440121605892644	-1.11119294428363	0.266485307642621	0.427526497202673
"PIM2"	8.59071096077852	-0.0889731316437399	0.510860179882544	-0.174163372185705	0.861737070321567	0.917621784009592
"PIM3"	9.84252446554144	-0.0457000382181564	0.45461890288641	-0.100523840799411	0.919928456477917	0.952870071960546
"PIN1"	47.6158303841888	1.34868476699656	0.409382304491918	3.29443835798034	0.00098618572033576	0.00702100393479767
"PIN4"	33.2902783287606	1.48323475325553	0.328125251740047	4.52033101807903	6.1743012516559e-06	0.000143903471556254
"PINK1"	26.1556433670964	0.393224920520161	0.337268838225017	1.1659094347098	0.243651064009645	0.403208140096211
"PINX1"	13.0987552031454	0.680455151400584	0.432932269489276	1.57173581032273	0.116011833550692	0.238902465111802
"PION"	4.01828373464609	-0.259459577979034	0.745076248432134	-0.348232249417447	0.727665770137387	0.82795590053429
"PIP"	2.78254680407468	4.4324264882693	1.21675153359975	3.6428361632354	0.000269650479764124	0.00263852619587546
"PIP4K2A"	5.22584436171783	-0.682840222459535	0.615108751313106	-1.11011300197216	0.266950335144999	0.428077405598557
"PIP4K2B"	13.0790534626865	-0.970212958114745	0.444368955246778	-2.18334999927243	0.0290100451114388	0.0875609080293228
"PIP4K2C"	30.7191490027138	-0.484556730714075	0.310874564737616	-1.55868889152462	0.119070032235108	0.243200496901214
"PIP5K1A"	18.3396955660518	-1.60945644692367	0.426205348929038	-3.77624647594846	0.000159209450905114	0.00178940629127102
"PIP5K1C"	5.5062827060148	-1.73168913312282	0.666293318051566	-2.59898919320815	0.00934987167263657	0.037706625332199
"PIR"	5.07081538160882	1.2562168526868	0.668715958522753	1.8785507309589	0.0603058638986401	0.148763857720057
"PISD"	7.80273498976196	-0.0736924812728339	0.535737594019302	-0.13755331359139	0.890593455031118	0.936262640467842
"PITHD1"	8.5513420407561	0.265082793536438	0.513822727165392	0.515903208483637	0.605922013071221	0.73812445067566
"PITPNA"	74.299524778389	-0.33936818080462	0.252179324098407	-1.34574149573099	0.178385898946054	0.323274686074912
"PITPNB"	21.4048994191203	-0.442341859905552	0.369939576452166	-1.19571380858395	0.231808260852029	0.389532328199223
"PITPNC1"	2.66474877485196	1.10433878276687	0.939029010311699	1.17604330711817	0.239577570768534	0.398402896861582
"PITPNM1"	10.972527057075	-1.20832875592775	0.501628669711903	-2.40881119618168	0.0160045751725025	0.0561943148225079
"PITPNM2"	1.67537498908112	-0.560297340739794	1.09972238719463	-0.509489801484445	0.610408945079246	NA
"PITRM1"	35.4915259197312	-1.47616944691885	0.314845325055477	-4.68855444068843	2.75141722456327e-06	7.53070783951661e-05
"PITX1"	14.6985266899875	-0.0472015557161048	0.418719845935386	-0.112728250581628	0.910246003277689	0.947488101680417
"PITX2"	1.62091944116718	0.682693618048816	1.06498637915174	0.64103506994388	0.521499897985336	NA
"PJA1"	12.9460891566384	-0.100261073286252	0.433053975566557	-0.231520962612298	0.816910101965861	0.888214922131553
"PJA2"	14.9645771971703	-1.40417682384515	0.465872688448186	-3.01407843529623	0.00257761157172157	0.0143628330939057
"PKD1"	5.72561444665867	-2.00917029799964	0.682193406650193	-2.94516229329358	0.00322785301873685	0.0170228132726392
"PKD1P1"	5.82425155538781	-3.21978588814598	0.876014679926037	-3.67549307326429	0.000237390482092849	0.00241461340070934
"PKD2"	14.2289307168065	-1.34872991439855	0.468139833857299	-2.88104069949679	0.00396364455047878	0.0198426548904481
"PKDCC"	3.71877031455864	-1.18093374629693	0.803732100024902	-1.46931265562287	0.141748005733268	0.274752238761124
"PKIB"	1.37487004847958	1.61448378995333	1.37021285049672	1.17827225848017	0.238688083657392	NA
"PKIG"	17.0779444293471	1.08139424544962	0.428819447283785	2.52179385123355	0.01167581107701	0.0443748068218401
"PKM2"	2221.92121256848	-0.501605125304148	0.192584012702105	-2.60460418425306	0.00919804516164372	0.03725084803093
"PKMYT1"	28.1540409233886	-0.453439604172848	0.348490422351146	-1.30115370492436	0.193205848060483	0.342087429787453
"PKN1"	27.0278040401735	-1.02212046204213	0.329096944094386	-3.10583395070657	0.0018974323255488	0.011405673273735
"PKN2"	9.78727768696292	-0.791995015472665	0.527561766382168	-1.5012365678125	0.133294384923767	0.263001703611499
"PKN3"	6.33305075743013	-1.64906508887915	0.62939146763152	-2.62009444628283	0.00879054177074149	0.0360429281613548
"PKNOX1"	3.36305608819166	0.394292891296138	0.795596646017564	0.495593958659591	0.620180916034126	0.750128320711227
"PKP2"	4.69921009088726	-1.13849948369881	0.698681414026936	-1.62949730856147	0.103207784180406	0.22008395817578
"PKP3"	29.4889985815761	-0.963023479218978	0.394071090055308	-2.44378109311144	0.0145342424185804	0.0520471035527466
"PKP4"	5.45262348232255	0.0183358195707946	0.61255979490915	0.02993310975219	0.976120399909846	0.987058632530232
"PLA1A"	5.47795776500071	5.44072090494631	1.13407022484271	4.79751675492665	1.60644775510745e-06	4.97386375320366e-05
"PLA2G12A"	11.0023268880167	0.741870896226653	0.462683763529576	1.60340810441953	0.108844582925185	0.228920539148228
"PLA2G15"	9.0671610336672	-0.3782143619596	0.563448753991877	-0.671248910003007	0.502061975399689	0.652661138790065
"PLA2G16"	46.4588696551392	1.5237179372742	0.343223496208629	4.43943364631426	9.01959169181887e-06	0.000194344589963722
"PLA2G4A"	18.0449251030474	-0.188682779398608	0.397039594257592	-0.475224088800055	0.634627259185934	0.761235469493875
"PLA2G4C"	9.92611284417503	4.03292414503371	0.746261637076035	5.40416918767969	6.510946710343e-08	3.69583738536567e-06
"PLA2R1"	1.5056968282108	-0.541185944181319	1.20749565615017	-0.448188729644602	0.654016995856197	NA
"PLAA"	18.0593417532702	-0.577225367707298	0.369578541812562	-1.56184762480081	0.118323889370615	0.242105353483518
"PLAC2"	4.0373937590491	0.531507245489332	0.675402444315559	0.786948951640162	0.431311749993289	0.588801326148066
"PLAGL1"	2.82652895456645	-0.946144352093565	0.867636583294477	-1.09048462260661	0.275499723444583	0.43681124495088
"PLAGL2"	4.0810312387663	-1.06006878149008	0.741901691834101	-1.42885343591739	0.153046363248402	0.290049094090222
"PLAT"	4.28332385892097	1.44247219301554	0.699131758607101	2.06323368271729	0.0390904313955343	0.109156452269738
"PLAU"	73.3502740703209	-0.184630079487853	0.27399566732179	-0.673843062164254	0.500411094233987	0.651480655072124
"PLAUR"	162.438321819752	3.23910423444296	0.320799112301614	10.0969862765629	5.6965958848225e-24	4.62651225784277e-21
