"FSC-A","SSC-A","Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
98301.953125,60156.195312,110.325249,5075.918457,431.128052,464.683075,44.348324
33407.210938,32893.535156,13.739659,2612.123779,103.647476,122.524300,44.348431
70370.250000,47873.460938,1.085986,3176.904053,94.132835,170.045563,44.348770
73777.953125,39962.015625,9.602554,3173.200195,143.319077,145.873672,44.350296
52811.152344,39620.164062,88.139648,2953.833252,217.449799,298.418610,44.350964
59122.496094,32723.962891,13.735963,2982.309082,98.076332,195.160065,44.351166
95109.085938,52619.683594,65.927536,5491.397949,207.438660,402.680389,44.351776
80424.687500,67551.757812,175.211365,7333.885254,344.152985,482.164886,44.354172
68055.140625,43079.765625,89.674576,3517.277832,135.012711,237.104568,44.356613
68939.039062,29813.541016,74.150406,3261.967041,146.490143,150.414642,44.358944
86317.265625,55716.757812,17.492821,3486.130371,79.357056,262.224426,44.359066
45896.312500,31581.619141,-7.193512,3156.442627,193.395721,173.806641,44.359921
63937.996094,40036.238281,-11.986603,2964.155029,77.379837,235.591110,44.361301
48440.589844,50652.191406,-3.658120,334.084900,63.157787,169.142639,44.361416
68914.875000,44375.648438,37.378834,2938.411377,218.316650,243.236221,44.362175
62580.980469,51882.296875,37.771866,2320.929688,277.504517,438.860718,44.362354
95669.296875,56795.261719,27.914167,4033.545898,105.684494,208.951782,44.362896
91206.218750,38773.707031,67.301651,3755.284424,298.531555,440.037445,44.364079
63446.210938,32514.722656,18.224903,3085.222900,173.883408,212.233734,44.364983
104608.640625,57104.285156,34.245422,2709.208496,213.914383,261.229797,44.366394
73990.851562,33307.960938,-0.110541,3193.540283,209.909592,225.447830,44.366653
66513.804688,36107.621094,20.504471,2934.100830,185.289795,264.450623,44.367867
56925.101562,41846.621094,-16.152502,3079.758301,115.181923,167.427689,44.367897
47395.035156,30147.056641,40.954830,2402.774902,92.092125,151.489014,44.370628
73668.453125,36583.351562,95.364258,3072.593994,184.552383,287.165466,44.371353
60086.644531,37899.824219,35.283489,2653.957031,193.596542,232.286682,44.371426
54079.917969,31259.072266,12.891632,3055.046875,151.344864,236.854706,44.371777
63911.339844,31838.707031,106.203247,2728.334229,119.993034,262.309052,44.372540
56949.839844,30517.910156,5.332586,2934.646973,174.219193,209.399521,44.374741
56170.265625,29018.679688,70.339958,2679.397217,62.812592,173.320694,44.374805
61965.519531,36330.628906,67.720474,1680.801025,103.715401,121.618469,44.374908
82051.648438,46544.730469,76.193298,3458.261963,196.006088,244.386368,44.375164
67213.679688,35434.777344,79.521698,2763.003174,157.205963,239.046494,44.376080
65439.378906,61553.031250,46.046787,2604.837891,204.899918,401.417267,44.376827
71114.656250,29495.927734,-4.337749,2401.560547,55.425587,146.862091,44.376842
40526.355469,25021.625000,4.514352,2523.842529,95.560936,102.728470,44.376900
71917.570312,42859.484375,58.007370,3247.152588,76.970680,209.044891,44.378159
63142.214844,26905.667969,32.527794,3022.502930,56.392094,142.316452,44.379963
60811.777344,45229.093750,-23.647404,3106.534180,168.441238,247.441833,44.381611
64009.175781,31755.582031,6.265018,2859.905518,240.081329,306.043671,44.382576
69463.796875,45694.246094,42.910027,4498.508789,423.919250,518.989075,44.382645
57738.996094,31687.615234,10.087744,3107.323486,219.183380,191.038406,44.383453
35266.960938,40068.925781,-3.590872,2191.118896,109.892250,276.542664,44.383472
51742.914062,19353.033203,-9.367929,1817.958374,75.377983,146.497620,44.383682
48659.828125,27552.269531,-2.763530,2383.042236,170.860580,121.708336,44.383862
91112.320312,43658.136719,85.584457,4134.820312,290.037292,432.437103,44.384628
79034.429688,51858.699219,89.467056,4181.571777,260.841644,324.732971,44.385033
57555.449219,28754.287109,34.370392,3575.382812,206.369843,321.438873,44.386147
46319.578125,59497.207031,33.095184,7830.541992,233.101120,371.898560,44.386784
59681.335938,28448.257812,36.373470,2565.008057,99.095818,140.665604,44.387012
82903.882812,46911.273438,68.649933,3711.447754,178.716904,304.098633,44.387154
64779.644531,44131.933594,84.054314,3183.036133,111.181160,227.371353,44.387379
107351.484375,50564.804688,75.323311,5157.702637,283.906097,557.788147,44.389153
