"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
91147.2,119231,59.52,2.94679
89146.4,131947,176.08,2.97765
79776,46300.4,16.12,2.99617
85074.4,54318.2,23.56,3.01469
78395.2,91146.2,89.28,3.01675
114764,129337,164.92,3.02807
72260,56727.5,89.28,3.0291
91540.8,67076.6,95.48,3.03219
100138,129666,138.88,3.03322
70090.4,83222.6,43.4,3.03322
76396.8,47514.3,34.72,3.03939
85756.8,63311.9,122.76,3.04248
73485.6,52356.5,-4.96,3.04556
77139.2,83459.4,111.6,3.04762
74671.2,55328.8,29.76,3.04865
98299.2,101994,181.04,3.05276
76204,72771.9,40.92,3.05482
88225.6,91791,142.6,3.05688
86111.2,84176.2,74.4,3.05894
81670.4,65468.3,47.12,3.06923
66108,62856.8,120.28,3.07231
97059.2,77162.7,132.68,3.0754
88892.8,137097,231.88,3.07746
88768,110696,60.76,3.07952
78672,117680,283.96,3.0826
100982,98954.5,101.68,3.08363
74174.4,62575.4,-19.84,3.08466
93651.2,82476.1,188.48,3.08672
72844.8,53780,194.68,3.08775
86206.4,90547.3,112.84,3.09186
86356,79688.6,102.92,3.09495
73448,88808.8,94.24,3.09701
114142,104158,136.4,3.09804
82425.6,46176.4,6.2,3.10009
84917.6,64415.5,66.96,3.10215
88962.4,81070,45.88,3.10318
81433.6,105238,137.64,3.10421
98165.6,82913.8,147.56,3.10524
69851.2,53419.2,97.96,3.10627
110151,103726,131.44,3.10833
89488,81465.5,119.04,3.11244
76732.8,87017,88.04,3.1145
80955.2,74763.3,120.28,3.11759
84155.2,86404.4,62,3.11861
71676,43824.1,79.36,3.13199
72436,87520.4,64.48,3.15771
112805,95419.2,55.8,3.15874
69951.2,47221.7,79.36,3.16183
72493.6,59141.8,22.32,3.16389
83157.6,84209.6,117.8,3.16594
79364.8,39644,89.28,3.19578
86040.8,76012,91.76,3.19784
94768.8,87575,176.08,3.20093
77647.2,109647,221.96,3.20298
71076.8,66617.8,152.52,3.20401
85068.8,60306.2,89.28,3.20504
77184,63516.5,31,3.20607
69740.8,62125.2,57.04,3.20813
101618,88715.8,93,3.20916
77902.4,56761,22.32,3.21327
72284.8,76498.1,2961.12,3.21533
