"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
67373.6,95245.6,265.36,2.66023
92423.2,88564.5,207.08,2.66229
77280.8,99258.3,63.24,2.66332
61921.6,48806.4,35.96,2.66539
80248.8,58699.1,75.64,2.66746
78196.8,84441.5,498.48,2.66849
79083.2,60587.6,40.92,2.66952
94532.8,84958.6,126.48,2.67159
74430.4,45529.1,23.56,2.67159
58956,42885.4,200.88,2.67366
75829.6,45732.4,38.44,2.67469
84906.4,67634.6,100.44,2.67676
77872.8,61102.2,1145.76,2.67779
70632,64239.4,93,2.67985
80504,63894.7,104.16,2.68089
87284,72964.1,66.96,2.68192
76396,62042.2,48.36,2.68605
73193.6,64172.5,136.4,2.70258
76084.8,56825.5,64.48,2.70362
71393.6,61584.6,164.92,2.70465
83180.8,82410.4,79.36,2.70981
84274.4,76412.5,161.2,2.71188
76261.6,50530,1.24,2.71291
82663.2,56467.1,-8.68,2.71498
99402.4,87310.9,1528.92,2.71705
82868.8,138075,115.32,2.72118
84268.8,73450.2,186,2.75114
84412.8,58936,53.32,2.7532
70370.4,42331.1,708.04,2.75424
60044.8,44270.5,55.8,2.75734
84423.2,81236.1,39.68,2.75734
78138.4,75054.7,245.52,2.76044
99407.2,123396,447.64,2.76147
97776.8,113393,179.8,2.76354
89817.6,80405.3,58.28,2.7656
64291.2,84618.8,399.28,2.7656
73990.4,53916.4,58.28,2.7687
73123.2,45772.1,469.96,2.77077
85660.8,59249.7,571.64,2.7718
84800,103168,86.8,2.77283
60381.6,68140.5,1041.6,2.7749
90701.6,79590.6,74.4,2.77593
74186.4,65609.6,107.88,2.77697
74958.4,70582,95.48,2.778
72686.4,45871.3,54.56,2.77903
101954,94975.3,91.76,2.78007
66656,64553.2,106.64,2.78213
95796.8,73548.1,193.44,2.78213
95426.4,131674,120.28,2.78316
84217.6,100550,141.36,2.7842
91489.6,112005,71.92,2.78523
68812,60809.6,29.76,2.7873
85262.4,60572.8,739.04,2.78833
81142.4,71606.3,121.52,2.78936
83669.6,58999.2,-8.68,2.79143
